field_1,fid,SciName,Longitude,Latitude,issues,countryCod,individual,occurrence,coordinate,institutio,gbifID,references,basisOfRec,year,month,day,eventDate,geodeticDa,datasetNam,layer,path,nutrientavailability,nutrientretention,rootingcapability,oxygenavailability,excesssalts,toxicity,workability
14,4433,Geranium lucidum,5.443778,50.347088,"cdround,colmano,inmafu",BEL,NA,PRESENT,750,BR,381613033,NA,HUMAN_OBSERVATION,1971,4,11,1971-04-11,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,1,1,1,1,1
15,4434,Geranium lucidum,-4.44436,57.282369,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2944274577,NA,HUMAN_OBSERVATION,1971,4,22,1971-04-22,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,4,3,1,2,1,1,1
16,4435,Geranium lucidum,-4.233961,57.369852,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,2955025961,NA,HUMAN_OBSERVATION,1971,4,23,1971-04-23,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,2,1,4,1,1,1
17,4437,Geranium lucidum,-5.854227,57.233972,fpwktinv,GBR,NA,PRESENT,707.1,BSBI,2941795768,NA,HUMAN_OBSERVATION,1971,5,1,1971-05-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,2,1,5,1,1,1
18,4436,Geranium lucidum,-2.659266,51.665425,fpwktinv,GBR,NA,PRESENT,707.1,Gloucestershire Centre for Environmental Records,2933615919,NA,HUMAN_OBSERVATION,1971,5,21,1971-05-21,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,0,0,0,0,0,0,0
19,4440,Geranium lucidum,-3.414007,51.7806,fpwktinv,GBR,NA,PRESENT,70.7,BIS,2939182016,NA,HUMAN_OBSERVATION,1971,6,3,1971-06-03,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,2
20,4438,Geranium lucidum,16.597633,58.436909,"cdround,gass84",SWE,NA,PRESENT,250,<U+FFFD>sterg<U+FFFD>tlands flora,856015233,NA,HUMAN_OBSERVATION,1971,6,10,1971-06-10,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
21,4439,Geranium lucidum,9.41667,42.73333,"gass84,colmano,inmafu",FRA,NA,PRESENT,850,G,1144688126,NA,PRESERVED_SPECIMEN,1971,6,22,1971-06-22,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,1,1,1,1,1,1
22,4443,Geranium lucidum,-3.429066,51.775472,fpwktinv,GBR,NA,PRESENT,707.1,SEWBReC,2999706971,NA,HUMAN_OBSERVATION,1971,9,12,1971-09-12,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,2,1,1,2
23,4442,Geranium lucidum,16.693968,58.318598,gass84,SWE,NA,PRESENT,500,<U+FFFD>sterg<U+FFFD>tlands flora,856017502,NA,HUMAN_OBSERVATION,1971,9,13,1971-09-13,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,1,3,1,1,1,3
24,4441,Geranium lucidum,-123.2277,45.412,"gass84,colmafu,inmafu",USA,NA,PRESENT,804.67,OSC,51844614,NA,PRESERVED_SPECIMEN,1971,9,14,1971-09-14,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,1,1,1,1
25,4444,Geranium lucidum,-3.19715,53.158552,fpwktinv,GBR,NA,PRESENT,70.7,Cofnod,2942295690,NA,HUMAN_OBSERVATION,1971,11,NA,1971-11-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,1,3,1,1,1,2
26,4263,Geranium lucidum,12.495637,58.513761,gass84,SWE,NA,PRESENT,250,ArtDatabanken,1428926496,NA,HUMAN_OBSERVATION,1978,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,2,1,1,1,1,1
27,4265,Geranium lucidum,11.957232,58.690058,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428948864,NA,HUMAN_OBSERVATION,1978,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
28,4268,Geranium lucidum,12.383716,58.90975,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428963440,NA,HUMAN_OBSERVATION,1978,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
29,4414,Geranium lucidum,12.325802,58.730928,"cdround,gass84",SWE,NA,PRESENT,250,ArtDatabanken,1428927680,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
30,4417,Geranium lucidum,12.276026,58.666228,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428987256,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,1,1,1,2
31,4418,Geranium lucidum,12.298763,58.67853,"cdround,gass84",SWE,NA,PRESENT,500,ArtDatabanken,1428987290,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
32,4419,Geranium lucidum,12.278173,58.708157,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428987317,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
33,4420,Geranium lucidum,12.258644,58.636996,gass84,SWE,NA,PRESENT,250,ArtDatabanken,1428987353,NA,HUMAN_OBSERVATION,1973,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,1,1,1,2
34,4430,Geranium lucidum,12.381749,58.768187,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428950123,NA,HUMAN_OBSERVATION,1972,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
35,4431,Geranium lucidum,14.138018,57.865126,"cdround,gass84",SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246061338,NA,HUMAN_OBSERVATION,1972,12,31,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,2,2,1,1,1,2
36,4432,Geranium lucidum,-2.168078,51.77505,fpwktinv,GBR,NA,PRESENT,707.1,Gloucestershire Centre for Environmental Records,2933344162,NA,HUMAN_OBSERVATION,1972,NA,NA,1972-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,2,1,1,1,2
37,4424,Geranium lucidum,-2.306559,51.356221,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3099372133,NA,HUMAN_OBSERVATION,1972,4,16,1972-04-16,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,2,1,1,1,1
38,4426,Geranium lucidum,-2.002258,54.091255,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3105784900,NA,HUMAN_OBSERVATION,1972,6,25,1972-06-25,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,2,1,1,2
39,4425,Geranium lucidum,-4.335651,57.334308,fpwktinv,GBR,NA,PRESENT,707.1,E,2942846530,NA,HUMAN_OBSERVATION,1972,6,29,1972-06-29,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,7,7,7,7,7,7,7
40,4427,Geranium lucidum,-4.165998,56.708338,fpwktinv,GBR,NA,PRESENT,707.1,BSBI,2946519881,NA,HUMAN_OBSERVATION,1972,7,31,1972-07-31,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,2,2,1,1,1,2
41,4428,Geranium lucidum,-4.329591,51.824468,fpwktinv,GBR,NA,PRESENT,70.7,West Wales Biodiversity Information Centre,2908832790,NA,HUMAN_OBSERVATION,1972,8,24,1972-08-24,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,1,1,1,1
42,4429,Geranium lucidum,-2.337236,54.110555,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3102410037,NA,HUMAN_OBSERVATION,1972,9,6,1972-09-06,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,2,1,1,2
43,4367,Geranium lucidum,14.957596,58.278913,gass84,SWE,NA,PRESENT,500,<U+FFFD>sterg<U+FFFD>tlands flora,2847710950,NA,HUMAN_OBSERVATION,1975,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,1,1,1,1
44,4412,Geranium lucidum,12.376763,58.771377,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428919420,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
45,4413,Geranium lucidum,12.37026,58.767162,"cdround,gass84",SWE,NA,PRESENT,250,ArtDatabanken,1428919510,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
46,4415,Geranium lucidum,11.904447,58.77915,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428944648,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
47,4416,Geranium lucidum,12.347505,58.879316,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428963429,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
48,4421,Geranium lucidum,14.300829,57.840223,gass84,SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246060981,NA,HUMAN_OBSERVATION,1973,12,31,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,1,1,1,2
49,4422,Geranium lucidum,-3.101734,51.993438,fpwktinv,GBR,NA,PRESENT,70.7,BIS,2938823880,NA,HUMAN_OBSERVATION,1973,NA,NA,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,2
50,4423,Geranium lucidum,-2.122748,51.091746,fpwktinv,GBR,NA,PRESENT,707.1,BSBI,3098954980,NA,HUMAN_OBSERVATION,1973,NA,NA,1973-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,3,1,1,1,2
51,4397,Geranium lucidum,-4.384732,51.769405,fpwktinv,GBR,NA,PRESENT,70.7,West Wales Biodiversity Information Centre,2909306582,NA,HUMAN_OBSERVATION,1973,4,16,1973-04-16,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,1,2,1,1,1,1
52,4398,Geranium lucidum,-3.88,40.76,"gass84,osiic,colmafu,inmafu",ESP,1,PRESENT,707,VAL,895303599,NA,PRESERVED_SPECIMEN,1973,5,6,1973-05-06,WGS84,Colecci<U+FFFD>n de plantas vasculares del herbario de la Universitat de Val<U+FFFD>ncia (VAL),"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,4,1,1,1,3
53,4399,Geranium lucidum,16.092609,58.310398,"cdround,gass84",SWE,NA,PRESENT,100,<U+FFFD>sterg<U+FFFD>tlands flora,932034153,NA,HUMAN_OBSERVATION,1973,6,21,1973-06-21,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,1,1,1,2
54,4401,Geranium lucidum,-2.244102,54.13954,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3098853244,NA,HUMAN_OBSERVATION,1973,9,1,1973-09-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,2,1,1,2
55,4402,Geranium lucidum,-2.368626,54.200337,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3099332749,NA,HUMAN_OBSERVATION,1973,9,12,1973-09-12,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,2,1,1,1
56,4404,Geranium lucidum,-2.399092,54.180468,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3103625928,NA,HUMAN_OBSERVATION,1973,9,12,1973-09-12,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,2,1,1,1
57,4406,Geranium lucidum,-2.334721,54.177968,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3104432638,NA,HUMAN_OBSERVATION,1973,9,14,1973-09-14,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,2,1,1,1
58,4405,Geranium lucidum,-2.386902,54.187698,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3104119640,NA,HUMAN_OBSERVATION,1973,9,16,1973-09-16,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,2,1,1,1
59,4400,Geranium lucidum,-3.140389,51.823585,fpwktinv,GBR,NA,PRESENT,707.1,BIS,2939336251,NA,HUMAN_OBSERVATION,1973,9,18,1973-09-18,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,1,1,1,2
60,4403,Geranium lucidum,-2.345505,54.185127,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3099358910,NA,HUMAN_OBSERVATION,1973,9,20,1973-09-20,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,2,1,1,1
61,4408,Geranium lucidum,-2.383896,54.193998,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3105392436,NA,HUMAN_OBSERVATION,1973,9,20,1973-09-20,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,2,1,1,1
62,4407,Geranium lucidum,-2.297978,54.181659,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3104477753,NA,HUMAN_OBSERVATION,1973,9,29,1973-09-29,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,2,1,4,1,1,1
63,4410,Geranium lucidum,-2.468128,54.188308,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3103905508,NA,HUMAN_OBSERVATION,1973,10,1,1973-10-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,2,1,2,1,1,1
64,4409,Geranium lucidum,-2.336377,54.193242,fpwktinv,GBR,NA,PRESENT,70.7,BSBI,3099861728,NA,HUMAN_OBSERVATION,1973,10,5,1973-10-05,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,2,1,1,1
65,4411,Geranium lucidum,9.897514,63.349004,cdround,NOR,1,PRESENT,1000,NTNU-VM,2465946444,NA,HUMAN_OBSERVATION,1973,11,30,1973-11-30,WGS84,Vascular plant field notes,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,3,3,2,1,1,1,1
66,4382,Geranium lucidum,11.944575,58.924053,gass84,SWE,NA,PRESENT,250,ArtDatabanken,1428896603,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
67,4383,Geranium lucidum,12.356506,58.775061,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428919446,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
68,4384,Geranium lucidum,12.327365,58.806895,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428919459,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
69,4385,Geranium lucidum,12.397883,58.753521,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428927708,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
70,4386,Geranium lucidum,12.492062,58.779429,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428950127,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
71,4387,Geranium lucidum,12.3093,59.013508,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428984810,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
72,4388,Geranium lucidum,12.407423,58.825742,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428985657,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
73,4389,Geranium lucidum,12.398476,58.846257,gass84,SWE,NA,PRESENT,100,ArtDatabanken,1428985894,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
74,4390,Geranium lucidum,12.406776,58.814673,"cdround,gass84",SWE,NA,PRESENT,100,ArtDatabanken,1428985909,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,3,1,1,1,3
75,4391,Geranium lucidum,14.349437,57.887486,gass84,SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246060302,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,1,1,1,2
76,4392,Geranium lucidum,14.431013,57.870435,gass84,SWE,NA,PRESENT,50,F<U+FFFD>reningen Sm<U+FFFD>lands flora,2246060876,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,2,1,1,1,2
77,4393,Geranium lucidum,14.960615,58.280906,gass84,SWE,NA,PRESENT,300,<U+FFFD>sterg<U+FFFD>tlands flora,2900260395,NA,HUMAN_OBSERVATION,1974,12,31,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,1,1,1,1
78,4394,Geranium lucidum,-2.138925,51.721141,fpwktinv,GBR,NA,PRESENT,707.1,Gloucestershire Centre for Environmental Records,2933477961,NA,HUMAN_OBSERVATION,1974,NA,NA,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,1,1,3,1,1,1,2
79,4395,Geranium lucidum,-1.902592,53.887645,fpwktinv,GBR,NA,PRESENT,707.1,BSBI,3101793085,NA,HUMAN_OBSERVATION,1974,NA,NA,1974-01-01,WGS84,NA,"Geranium GBIF (filtered, 1km)",C:/Users/Delia Anderson/Documents/geranium shp.shp|layername=geranium shp,2,2,1,2,1,1,1
