SciName,eventDate,year,fid,decimallon,decimallat,issues,countryCod,occurrence,coordinate,institutio,references,basisOfRec,month,day,geodeticDa,datasetNam,catalogNum,layer,path
Geranium lucidum,2006-05-08,2006,2185624,-123.17417,44.03801,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2004-07-08,2004,2185625,-122.51339,43.7464,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2005-06-08,2005,2185626,-122.59889,43.96652,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2007-01-08,2007,2185627,-122.58082,43.97313,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,04-17-08,2004,2185628,-122.53253,43.75345,,,PRESENT,,EDDMaps,,,,,Unknown,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-07-13,2003,2689146,-122.66035,45.70738,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,05-28-13,2005,3044947,-122.495,46.32667,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-11,2001,3186324,-123.29167,44.115,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-11,2001,3186338,-122.66333,44.41333,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-12,2001,3191958,-122.95333,43.78,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,09-14-14,2009,3970298,-122.69632,45.74548,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4819456,-122.71076,45.87205,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4819457,-122.70908,45.87138,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4819458,-122.54005,45.82133,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,04-27-15,2004,4819460,-122.5428,45.81818,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4819463,-122.75394,45.72097,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4819464,-122.66904,45.70921,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4819465,-122.65236,45.70731,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,04-20-15,2004,4819466,-122.28118,45.56608,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4819468,-122.27355,45.56461,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2005-07-14,2005,4819475,-122.2669,45.56119,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4819477,-122.25544,45.55904,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4821567,-122.39253,47.29913,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4821568,-122.35252,47.27506,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4821569,-122.6748,47.08016,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4821570,-122.69343,47.07302,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4822386,-121.92948,45.67516,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4822388,-122.24469,45.56034,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4822590,-122.85558,48.65731,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4822591,-123.16803,48.6183,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2001-01-15,2001,4823152,-122.2739,47.69706,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2009-04-13,2009,4823246,-122.47727,48.48973,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,10-30-18,2010,7822909,-122.5017,45.63324,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-22-19,2006,8166922,-122.0618,45.0841,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2009-08-12,2009,8374079,-122.474,44.9705,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-06-12,2003,8375292,-122.463,44.7989,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,10-23-12,2010,8375982,-122.66,44.6031,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2004-12-12,2004,8376415,-123.484,45.2602,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-06-12,2003,8376425,-123.466,45.2369,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-06-12,2003,8376451,-123.493,45.2247,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2004-12-12,2004,8376454,-123.468,45.2669,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2004-12-12,2004,8376455,-123.466,45.27,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2004-12-12,2004,8376459,-123.476,45.2656,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,09-14-12,2009,8376535,-123.449,44.1805,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-21-12,2003,8378777,-123.355,45.3779,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-02-12,2003,8378798,-123.512,45.1873,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-12-12,2003,8378801,-123.433,45.1774,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-12-12,2003,8378809,-123.461,45.1925,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-02-12,2003,8378830,-123.494,45.2052,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-10-12,2003,8378848,-123.378,45.3447,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-30-12,2003,8378854,-123.316,45.3898,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-30-12,2003,8378868,-123.321,45.3985,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-16-12,2003,8378900,-123.381,45.3708,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-26-12,2003,8378907,-123.331,45.4027,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-30-12,2003,8378909,-123.304,45.4157,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-26-12,2003,8378915,-123.339,45.3917,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-24-12,2003,8378934,-123.362,45.3968,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-21-12,2003,8378968,-123.358,45.3819,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-16-12,2003,8378974,-123.378,45.3713,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-19-12,2003,8378996,-123.426,45.3874,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-21-12,2003,8379002,-123.376,45.3928,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2009-08-12,2009,8379228,-122.484,44.9821,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,11-21-12,2011,8379346,-122.492,45.0159,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,10-23-12,2010,8379388,-122.49,45.0438,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,09-13-12,2009,8379914,-122.443,44.9631,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,10-23-12,2010,8380116,-122.489,45.0666,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,10-23-12,2010,8380154,-122.485,45.0211,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,10-23-12,2010,8380370,-122.486,45.0336,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,10-23-12,2010,8380403,-122.494,45.0613,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,10-23-12,2010,8380433,-122.491,45.0558,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,10-23-12,2010,8380490,-122.483,45.0163,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-12-12,2003,8383908,-123.462,45.1879,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-24-12,2003,8383913,-123.354,45.3899,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2004-11-12,2004,8383935,-123.432,45.2711,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-02-12,2003,8383968,-123.485,45.2138,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-30-12,2003,8383982,-123.322,45.3927,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,03-28-12,2003,8383998,-123.306,45.3705,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2003-02-12,2003,8384003,-123.487,45.2076,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2008-01-15,2008,8386030,-123.539,45.2237,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2008-01-15,2008,8386033,-123.582,45.2727,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2008-01-15,2008,8386041,-123.592,45.2811,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-27-17,2006,8386408,-123.366,42.9947,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,05-16-17,2005,8386439,-123.394,43.0166,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-28-17,2006,8386479,-123.333,43.0119,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2006-07-17,2006,8386483,-123.356,43.0244,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-28-17,2006,8386521,-123.338,43.0075,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2008-10-13,2008,8388834,-123.374,45.2823,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,07-21-13,2007,8388838,-123.363,45.3052,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,07-21-13,2007,8388853,-123.364,45.3098,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,07-21-13,2007,8388854,-123.374,45.3097,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2008-06-13,2008,8388868,-123.353,45.3025,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,07-17-13,2007,8388870,-123.339,45.3122,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,08-20-13,2008,8388885,-123.295,45.2743,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,08-28-13,2008,8388899,-123.326,45.2845,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,07-17-13,2007,8388931,-123.324,45.3143,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2008-10-13,2008,8388942,-123.362,45.2844,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,2008-06-13,2008,8388950,-123.347,45.303,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,08-28-13,2008,8389002,-123.331,45.2806,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,04-18-17,2004,8389353,-123.032,42.4555,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-26-15,2006,8390415,-123.582,44.3457,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,11-27-13,2011,8391478,-123.521,45.4589,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,06-26-13,2006,8392798,-122.899,43.2994,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
Geranium lucidum,11-25-17,2011,8393771,-123.611,42.5612,,,PRESENT,,EDDMaps,,,,,WGS84,,,EDD points,C:\Users\Delia Anderson\Desktop\Geranium map materials\Shapefiles\EDD points.shp|layername=EDD points
